key,en,ar,de,es,fr,ja,pl,pt,tr
"meta.title","AI on Turbo - Advanced AI Solutions for Business","AI on Turbo - Advanced AI Solutions for Business","AI on Turbo - Advanced AI Solutions for Business","AI on Turbo - Soluciones avanzadas de IA para empresas","AI on Turbo - Advanced AI Solutions for Business","AI on Turbo - Advanced AI Solutions for Business","AI on Turbo - Advanced AI Solutions for Business","AI on Turbo - Advanced AI Solutions for Business","AI on Turbo - Advanced AI Solutions for Business"
"meta.description","Transform your business with cutting-edge AI solutions. We deliver intelligent automation, advanced analytics, and innovative AI technologies that drive growth and efficiency.","Transform your business with cutting-edge AI solutions. We deliver intelligent automation, advanced analytics, and innovative AI technologies that drive growth and efficiency.","Transform your business with cutting-edge AI solutions. We deliver intelligent automation, advanced analytics, and innovative AI technologies that drive growth and efficiency.","Transforme su negocio con soluciones de IA de vanguardia. Ofrecemos automatización inteligente, análisis avanzados y tecnologías de IA innovadoras que impulsan el crecimiento y la eficiencia.","Transform your business with cutting-edge AI solutions. We deliver intelligent automation, advanced analytics, and innovative AI technologies that drive growth and efficiency.","Transform your business with cutting-edge AI solutions. We deliver intelligent automation, advanced analytics, and innovative AI technologies that drive growth and efficiency.","Transform your business with cutting-edge AI solutions. We deliver intelligent automation, advanced analytics, and innovative AI technologies that drive growth and efficiency.","Transform your business with cutting-edge AI solutions. We deliver intelligent automation, advanced analytics, and innovative AI technologies that drive growth and efficiency.","Transform your business with cutting-edge AI solutions. We deliver intelligent automation, advanced analytics, and innovative AI technologies that drive growth and efficiency."
"hero.title","Your Trusted AI Partner","Your Trusted AI Partner","Your Trusted AI Partner","Su socio de confianza en IA","Your Trusted AI Partner","Your Trusted AI Partner","Your Trusted AI Partner","Your Trusted AI Partner","Your Trusted AI Partner"
"hero.subtitle","Expert AI Consultancy Since 2017.","Expert AI Consultancy Since 2017.","Expert AI Consultancy Since 2017.","Consultoría experta en IA desde 2017.","Expert AI Consultancy Since 2017.","Expert AI Consultancy Since 2017.","Expert AI Consultancy Since 2017.","Expert AI Consultancy Since 2017.","Expert AI Consultancy Since 2017."
"hero.description","Every platform business will be transformed by AI in the next 5 years. Businesses that keep control over their AI capabilities will quickly gain a competitive edge over those that subscribe to and are dependent on off-the-shelf AI providers.","Every platform business will be transformed by AI in the next 5 years. Businesses that keep control over their AI capabilities will quickly gain a competitive edge over those that subscribe to and are dependent on off-the-shelf AI providers.","Every platform business will be transformed by AI in the next 5 years. Businesses that keep control over their AI capabilities will quickly gain a competitive edge over those that subscribe to and are dependent on off-the-shelf AI providers.","Todas las plataformas empresariales se verán transformadas por la IA en los próximos 5 años. Las empresas que mantengan el control sobre sus capacidades de IA obtendrán rápidamente una ventaja competitiva sobre las que se suscriban a proveedores de IA comerciales y dependan de ellos.","Every platform business will be transformed by AI in the next 5 years. Businesses that keep control over their AI capabilities will quickly gain a competitive edge over those that subscribe to and are dependent on off-the-shelf AI providers.","Every platform business will be transformed by AI in the next 5 years. Businesses that keep control over their AI capabilities will quickly gain a competitive edge over those that subscribe to and are dependent on off-the-shelf AI providers.","Every platform business will be transformed by AI in the next 5 years. Businesses that keep control over their AI capabilities will quickly gain a competitive edge over those that subscribe to and are dependent on off-the-shelf AI providers.","Every platform business will be transformed by AI in the next 5 years. Businesses that keep control over their AI capabilities will quickly gain a competitive edge over those that subscribe to and are dependent on off-the-shelf AI providers.","Every platform business will be transformed by AI in the next 5 years. Businesses that keep control over their AI capabilities will quickly gain a competitive edge over those that subscribe to and are dependent on off-the-shelf AI providers."
"hero.cta.consultation","Book AI Consultation","Book AI Consultation","Book AI Consultation","Reservar consulta de IA","Book AI Consultation","Book AI Consultation","Book AI Consultation","Book AI Consultation","Book AI Consultation"
"hero.cta.contact","Contact Us","Contact Us","Contact Us","Contacte con nosotros","Contact Us","Contact Us","Contact Us","Contact Us","Contact Us"
"featured.title","As featured in","As featured in","As featured in","Como aparece en","As featured in","As featured in","As featured in","As featured in","As featured in"
"platform.title","Your In-House Artificial Intelligence Platform","Your In-House Artificial Intelligence Platform","Your In-House Artificial Intelligence Platform","Su plataforma interna de inteligencia artificial","Your In-House Artificial Intelligence Platform","Your In-House Artificial Intelligence Platform","Your In-House Artificial Intelligence Platform","Your In-House Artificial Intelligence Platform","Your In-House Artificial Intelligence Platform"
"platform.description","Build custom AI solutions that integrate seamlessly with your existing systems and workflows.","Build custom AI solutions that integrate seamlessly with your existing systems and workflows.","Build custom AI solutions that integrate seamlessly with your existing systems and workflows.","Cree soluciones de IA personalizadas que se integren a la perfección con sus sistemas y flujos de trabajo existentes.","Build custom AI solutions that integrate seamlessly with your existing systems and workflows.","Build custom AI solutions that integrate seamlessly with your existing systems and workflows.","Build custom AI solutions that integrate seamlessly with your existing systems and workflows.","Build custom AI solutions that integrate seamlessly with your existing systems and workflows.","Build custom AI solutions that integrate seamlessly with your existing systems and workflows."
